method,training_profile,training_seed,test_seed,task_stream_fingerprint,source_json,task_count,queue_auc_total_task_s,peak_queue_episode,peak_active_episode,queue_recovery_time_s,outstanding_recovery_time_s,normal_queue_auc_task_s,normal_peak_queue,normal_peak_active,normal_duration_s,dense_queue_auc_task_s,dense_peak_queue,dense_peak_active,dense_duration_s,burst_queue_auc_task_s,burst_peak_queue,burst_peak_active,burst_duration_s,recovery_queue_auc_task_s,recovery_peak_queue,recovery_peak_active,recovery_duration_s
PPO,MEDIUM,1,56000041,1cadfb2da2fd957f2e79401640b6234027eae4d60cc09a43a8e54e6ac6cdb287,/Users/lab4099/Desktop/Mujoco/work/results/stage19_mixed_recovery/locked_test_v1/medium/seed_01.json,80,11577.2121619693,22,3,639.8664486270268,653.0372806590899,1.0965508006497657,1,1,1719.9058127097253,948.2641591204745,6,3,366.0540183533965,2431.397159770836,22,3,130.1575532679417,8196.45429227734,21,3,1718.3773997981134
PPO,MEDIUM,1,56000042,d5ef47fad82b9795f0889a47e43ca69bb1ebb31534219e429494093e295a5faf,/Users/lab4099/Desktop/Mujoco/work/results/stage19_mixed_recovery/locked_test_v1/medium/seed_01.json,80,15130.694744468348,25,3,901.2418423117565,914.4126743438196,0.0,1,1,1727.9572936492095,922.0536364033753,7,3,379.2342882454668,2713.7804865883477,25,2,125.68642201064313,11494.860621476626,23,3,1776.166779808228
PPO,MEDIUM,1,56000043,9b061ca2edd67db1d260ee5ba3828fc6b01e95918eb24fd91202f913ee7e5cc6,/Users/lab4099/Desktop/Mujoco/work/results/stage19_mixed_recovery/locked_test_v1/medium/seed_01.json,80,10692.363890481958,22,3,634.2568060473309,654.1892100524365,0.0,1,1,1713.0028171888785,1798.317109131857,7,3,367.31557798465064,2464.1684079767374,22,3,131.87549912448685,6429.878373373364,21,3,1830.6609329033463
PPO,MEDIUM,1,56000044,c41a3edec7a9d59ac983ff53ff34f6dbba0cd103a063aab0e064834ae5def192,/Users/lab4099/Desktop/Mujoco/work/results/stage19_mixed_recovery/locked_test_v1/medium/seed_01.json,80,10543.67431868914,23,3,727.3820941081881,740.5529261402512,0.0,0,2,1723.9590801594793,1023.5853691532684,6,2,381.1888592581456,2415.7982632526537,23,3,127.83954619810902,7104.290686283217,21,3,1715.1011484413234
PPO,MEDIUM,1,56000045,108c59f3966924b978b08b4e2daee44530d43eefce0fd34a8b1ae8c4e33602c3,/Users/lab4099/Desktop/Mujoco/work/results/stage19_mixed_recovery/locked_test_v1/medium/seed_01.json,80,11218.297550091138,23,3,574.9803496684153,592.3602670862497,0.0,1,1,1742.1279506379528,1251.8849719834527,6,3,370.5784783982781,2539.6149653311195,23,2,129.79708234066993,7426.797612776566,21,3,1733.7524586814734
PPO,MEDIUM,1,56000046,cd9f2e8bc241b307b80fc5269fcd674362ff91faf6cd1a0744170e7b762e64f4,/Users/lab4099/Desktop/Mujoco/work/results/stage19_mixed_recovery/locked_test_v1/medium/seed_01.json,80,24542.3486886464,28,3,891.3295227717936,968.8486972324076,0.0,0,2,1773.3497819197373,1790.932138546386,11,2,387.0225182205827,3146.87899681218,28,2,126.53237078624306,19604.537553287835,27,3,1773.834376015182
PPO,MEDIUM,1,56000047,bafa1ac3fa75cd7c6b15cb2008bb08bed10c47d593fb4df0e02ee304f14995ee,/Users/lab4099/Desktop/Mujoco/work/results/stage19_mixed_recovery/locked_test_v1/medium/seed_01.json,80,14857.620889038177,25,3,734.7317740353792,752.1116914532136,3.826003471243439,1,2,1686.7103448740177,1535.8097178420867,8,3,397.31098494788876,2628.185476788144,25,2,125.71850608346313,10689.799690936703,24,3,1774.8852196987436
PPO,MEDIUM,1,56000048,72f40d426690ab1fcd0c09bd43513c378817852a212875fdaaab42861c9aab42,/Users/lab4099/Desktop/Mujoco/work/results/stage19_mixed_recovery/locked_test_v1/medium/seed_01.json,80,14935.959654651386,24,3,860.576846121673,947.8057071356948,0.0,0,2,1724.4530354211124,950.2269742748829,6,3,385.06154661366963,2536.3024912514375,24,3,121.74215385275966,11449.430189125065,23,3,1723.3128074706146
PPO,MEDIUM,1,56000049,81136f4ac3d019613b3e75d42be15772301ff806341b2d668fc50b44e9abcd71,/Users/lab4099/Desktop/Mujoco/work/results/stage19_mixed_recovery/locked_test_v1/medium/seed_01.json,80,13407.37492672008,23,4,856.2839259985067,946.4664286627672,0.0,1,2,1756.1520268484192,1276.7653973883791,5,3,410.9931992174793,2564.6559605681036,23,2,132.59168763039088,9565.953568763598,22,4,1783.5362701988402
PPO,MEDIUM,1,56000050,e42f69b43e83c23209252c52b263855a09a4d0b7a8a46e2b85857fd9f72689dc,/Users/lab4099/Desktop/Mujoco/work/results/stage19_mixed_recovery/locked_test_v1/medium/seed_01.json,80,9266.962195211445,21,3,522.8315074022044,542.7639114073099,0.0,0,2,1714.2186165513272,858.8238552203491,5,3,389.6713451982764,2245.409624407295,21,3,129.0428067740727,6162.7287155838,20,3,1774.940518407017
