profile,seed,source_history,ppo_update,loss_block_start_update,loss_block_end_update,ppo_objective_loss_block_median,ppo_actor_loss_block_median,ppo_value_loss_block_median,ppo_entropy_block_median,ppo_approximate_kl_block_median,ppo_clip_fraction_block_median,evaluation_episode_count,evaluation_task_count,raw_environment_mean_return,return_change_from_update_50,task_success_rate_percent,illegal_action_count,resource_leak_count
Medium,seed_02,results/stage18/full_context_v2/seed_02/stage18_ppo.history.json,1100,1051,1100,0.035141595821187366,-0.011269489565165713,0.0994064660044387,0.3526363227501861,0.004769441345160885,0.03750887792557478,100,2000,18.43502657749062,0.4877552717082345,97.55,0,0
Medium,seed_02,results/stage18/full_context_v2/seed_02/stage18_ppo.history.json,1150,1101,1150,0.04020556797331665,-0.008034943457460031,0.10446046764263883,0.38695849844953045,0.006322520211142546,0.04768880223855376,100,2000,18.184838760924674,0.23756745514228683,98.7,0,0
Medium,seed_02,results/stage18/full_context_v2/seed_02/stage18_ppo.history.json,1200,1151,1200,0.03875356767093763,-0.006998987460974604,0.09712540521286428,0.3365587773732841,0.007653456112166168,0.04615885438397527,100,2000,18.42363312755862,0.47636182177623354,97.1,0,0
Medium,seed_02,results/stage18/full_context_v2/seed_02/stage18_ppo.history.json,1250,1201,1250,0.038190533319721,-0.009021386242238805,0.09786358679411933,0.3880256834672764,0.007016074284365459,0.044856770895421505,100,2000,18.385526740779316,0.438255434996929,97.1,0,0
Medium,seed_02,results/stage18/full_context_v2/seed_02/stage18_ppo.history.json,1300,1251,1300,0.05062481350614689,-0.0035728025541175157,0.1166471330798231,0.41738347022328526,0.007227453419545782,0.05102982965763658,100,2000,18.25174941416914,0.3044781083867534,97.0,0,0
Medium,seed_02,results/stage18/full_context_v2/seed_02/stage18_ppo.history.json,1350,1301,1350,0.04008409286325332,-0.00755460640812089,0.09849064628360793,0.3332397621124983,0.006432091842000887,0.0466145834652707,100,2000,18.360516222963135,0.41324491718074796,97.15,0,0
Medium,seed_02,results/stage18/full_context_v2/seed_02/stage18_ppo.history.json,1400,1351,1400,0.047074761811018107,-0.0008552186191082001,0.10231849653064273,0.36221732932608575,0.006037587387254462,0.046351207536645234,100,2000,18.557519744044143,0.6102484382617561,98.0,0,0
Medium,seed_02,results/stage18/full_context_v2/seed_02/stage18_ppo.history.json,1450,1401,1450,0.038274819340585964,-0.009786274671569117,0.09918321325676516,0.2967872629158279,0.00610571729066578,0.04276160045992583,100,2000,18.54270913435871,0.5954378285763227,97.5,0,0
Medium,seed_02,results/stage18/full_context_v2/seed_02/stage18_ppo.history.json,1500,1451,1500,0.0423355736056692,-0.008280088368337601,0.1024714051745832,0.31403077248251066,0.00753545086899976,0.04613518004771322,100,2000,18.5046382152884,0.5573669095060119,97.3,0,0
Medium,seed_02,results/stage18/full_context_v2/seed_02/stage18_ppo.history.json,1550,1501,1550,0.03638261275773402,-0.006140926667285385,0.1026750632445328,0.3373267879942432,0.006225549710507039,0.05171342345420271,100,2000,18.613780163379367,0.6665088575969804,97.7,0,0
Medium,seed_02,results/stage18/full_context_v2/seed_02/stage18_ppo.history.json,1600,1551,1600,0.04013088606734527,-0.006427760177757591,0.09406510798726231,0.33155281259678304,0.005413261766264554,0.04591619339771569,100,2000,18.01755690749504,0.07028560171265497,96.55,0,0
Medium,seed_02,results/stage18/full_context_v2/seed_02/stage18_ppo.history.json,1650,1601,1650,0.04229610020411201,-0.011810053460067138,0.106419435411226,0.3683035932481289,0.004456592490896583,0.0511807530419901,100,2000,18.41886609545989,0.47159478967750346,97.0,0,0
Medium,seed_02,results/stage18/full_context_v2/seed_02/stage18_ppo.history.json,1700,1651,1700,0.0351140365437459,-0.012763547245413065,0.09820232131460216,0.3970786149147898,0.005939804563240614,0.046809895895421505,100,2000,18.55052838725801,0.603257081475622,97.25,0,0
Medium,seed_02,results/stage18/full_context_v2/seed_02/stage18_ppo.history.json,1750,1701,1750,0.036600480976630934,-0.011565249806153588,0.10405981267103925,0.4493599624547642,0.006426986215956276,0.04860617918893695,100,2000,18.56870110846779,0.6214298026854017,97.5,0,0
Medium,seed_02,results/stage18/full_context_v2/seed_02/stage18_ppo.history.json,1800,1751,1800,0.04584355386032257,-0.010759891083580442,0.11362388389534317,0.43325679120607674,0.0046974844990472775,0.0504557293606922,100,2000,18.634347778671923,0.6870764728895367,98.5,0,0
Medium,seed_02,results/stage18/full_context_v2/seed_02/stage18_ppo.history.json,1850,1801,1850,0.043070694599009585,-0.0077487156086135656,0.11079388239886612,0.3969179489649832,0.004519832778896671,0.04971590917557478,100,2000,18.517562733618014,0.5702914278356275,97.89999999999999,0,0
