stage,source_path,artifact,gate,status,passed,claim_boundary,profile,execution_mode,updates,episodes_trained_total
14,results/stage18_dense/full_context_v2/seed_08/warm_start.summary.json,warm_start.summary.json,CONTEXT_CONDITIONED_POLICY_WARM_START,PASS,True,,DENSE,CONCURRENT,,
14,results/stage18_dense/full_context_v2/seed_09/stage18_ppo.summary.json,stage18_ppo.summary.json,SMDP_PPO_REWARD_V2_TRAINING_RUN,PASS,True,Training completed; held-out acceptance is still required.,DENSE,CONCURRENT,2000,8000
14,results/stage18_dense/full_context_v2/seed_09/warm_start.summary.json,warm_start.summary.json,CONTEXT_CONDITIONED_POLICY_WARM_START,PASS,True,,DENSE,CONCURRENT,,
14,results/stage18_dense/full_context_v2/seed_10/stage18_ppo.summary.json,stage18_ppo.summary.json,SMDP_PPO_REWARD_V2_TRAINING_RUN,PASS,True,Training completed; held-out acceptance is still required.,DENSE,CONCURRENT,2000,8000
14,results/stage18_dense/full_context_v2/seed_10/warm_start.summary.json,warm_start.summary.json,CONTEXT_CONDITIONED_POLICY_WARM_START,PASS,True,,DENSE,CONCURRENT,,
14,results/stage18_dense/no_eta_cost_only/seed_01/stage18_ppo.summary.json,stage18_ppo.summary.json,SMDP_PPO_REWARD_V2_TRAINING_RUN,FAIL,False,Training completed; held-out acceptance is still required.,DENSE,CONCURRENT,2000,8000
14,results/stage18_dense/no_eta_cost_only/seed_01/warm_start.summary.json,warm_start.summary.json,CONTEXT_CONDITIONED_POLICY_WARM_START,FAIL,False,,DENSE,CONCURRENT,,
14,results/stage18_dense/no_eta_cost_only/seed_02/stage18_ppo.summary.json,stage18_ppo.summary.json,SMDP_PPO_REWARD_V2_TRAINING_RUN,FAIL,False,Training completed; held-out acceptance is still required.,DENSE,CONCURRENT,2000,8000
14,results/stage18_dense/no_eta_cost_only/seed_02/warm_start.summary.json,warm_start.summary.json,CONTEXT_CONDITIONED_POLICY_WARM_START,FAIL,False,,DENSE,CONCURRENT,,
14,results/stage18_dense/no_eta_cost_only/seed_03/stage18_ppo.summary.json,stage18_ppo.summary.json,SMDP_PPO_REWARD_V2_TRAINING_RUN,FAIL,False,Training completed; held-out acceptance is still required.,DENSE,CONCURRENT,2000,8000
14,results/stage18_dense/no_eta_cost_only/seed_03/warm_start.summary.json,warm_start.summary.json,CONTEXT_CONDITIONED_POLICY_WARM_START,FAIL,False,,DENSE,CONCURRENT,,
14,results/stage18_dense/no_eta_cost_only/seed_04/stage18_ppo.summary.json,stage18_ppo.summary.json,SMDP_PPO_REWARD_V2_TRAINING_RUN,FAIL,False,Training completed; held-out acceptance is still required.,DENSE,CONCURRENT,2000,8000
14,results/stage18_dense/no_eta_cost_only/seed_04/warm_start.summary.json,warm_start.summary.json,CONTEXT_CONDITIONED_POLICY_WARM_START,FAIL,False,,DENSE,CONCURRENT,,
14,results/stage18_dense/no_eta_cost_only/seed_05/stage18_ppo.summary.json,stage18_ppo.summary.json,SMDP_PPO_REWARD_V2_TRAINING_RUN,FAIL,False,Training completed; held-out acceptance is still required.,DENSE,CONCURRENT,2000,8000
14,results/stage18_dense/no_eta_cost_only/seed_05/warm_start.summary.json,warm_start.summary.json,CONTEXT_CONDITIONED_POLICY_WARM_START,FAIL,False,,DENSE,CONCURRENT,,
14,results/stage18_dense/no_eta_cost_only/seed_06/stage18_ppo.summary.json,stage18_ppo.summary.json,SMDP_PPO_REWARD_V2_TRAINING_RUN,FAIL,False,Training completed; held-out acceptance is still required.,DENSE,CONCURRENT,2000,8000
14,results/stage18_dense/no_eta_cost_only/seed_06/warm_start.summary.json,warm_start.summary.json,CONTEXT_CONDITIONED_POLICY_WARM_START,FAIL,False,,DENSE,CONCURRENT,,
14,results/stage18_dense/no_eta_cost_only/seed_07/stage18_ppo.summary.json,stage18_ppo.summary.json,SMDP_PPO_REWARD_V2_TRAINING_RUN,FAIL,False,Training completed; held-out acceptance is still required.,DENSE,CONCURRENT,2000,8000
14,results/stage18_dense/no_eta_cost_only/seed_07/warm_start.summary.json,warm_start.summary.json,CONTEXT_CONDITIONED_POLICY_WARM_START,FAIL,False,,DENSE,CONCURRENT,,
14,results/stage18_dense/no_eta_cost_only/seed_08/stage18_ppo.summary.json,stage18_ppo.summary.json,SMDP_PPO_REWARD_V2_TRAINING_RUN,FAIL,False,Training completed; held-out acceptance is still required.,DENSE,CONCURRENT,2000,8000
14,results/stage18_dense/no_eta_cost_only/seed_08/warm_start.summary.json,warm_start.summary.json,CONTEXT_CONDITIONED_POLICY_WARM_START,FAIL,False,,DENSE,CONCURRENT,,
14,results/stage18_dense/no_eta_cost_only/seed_09/stage18_ppo.summary.json,stage18_ppo.summary.json,SMDP_PPO_REWARD_V2_TRAINING_RUN,FAIL,False,Training completed; held-out acceptance is still required.,DENSE,CONCURRENT,2000,8000
14,results/stage18_dense/no_eta_cost_only/seed_09/warm_start.summary.json,warm_start.summary.json,CONTEXT_CONDITIONED_POLICY_WARM_START,FAIL,False,,DENSE,CONCURRENT,,
14,results/stage18_dense/no_eta_cost_only/seed_10/stage18_ppo.summary.json,stage18_ppo.summary.json,SMDP_PPO_REWARD_V2_TRAINING_RUN,FAIL,False,Training completed; held-out acceptance is still required.,DENSE,CONCURRENT,2000,8000
14,results/stage18_dense/no_eta_cost_only/seed_10/warm_start.summary.json,warm_start.summary.json,CONTEXT_CONDITIONED_POLICY_WARM_START,FAIL,False,,DENSE,CONCURRENT,,
14,results/stage18_dense/no_explicit_handover_risk/seed_01/stage18_ppo.summary.json,stage18_ppo.summary.json,SMDP_PPO_REWARD_V2_TRAINING_RUN,PASS,True,Training completed; held-out acceptance is still required.,DENSE,CONCURRENT,2000,8000
14,results/stage18_dense/no_explicit_handover_risk/seed_01/warm_start.summary.json,warm_start.summary.json,CONTEXT_CONDITIONED_POLICY_WARM_START,PASS,True,,DENSE,CONCURRENT,,
14,results/stage18_dense/no_explicit_handover_risk/seed_02/stage18_ppo.summary.json,stage18_ppo.summary.json,SMDP_PPO_REWARD_V2_TRAINING_RUN,PASS,True,Training completed; held-out acceptance is still required.,DENSE,CONCURRENT,2000,8000
14,results/stage18_dense/no_explicit_handover_risk/seed_02/warm_start.summary.json,warm_start.summary.json,CONTEXT_CONDITIONED_POLICY_WARM_START,PASS,True,,DENSE,CONCURRENT,,
14,results/stage18_dense/no_explicit_handover_risk/seed_03/stage18_ppo.summary.json,stage18_ppo.summary.json,SMDP_PPO_REWARD_V2_TRAINING_RUN,PASS,True,Training completed; held-out acceptance is still required.,DENSE,CONCURRENT,2000,8000
14,results/stage18_dense/no_explicit_handover_risk/seed_03/warm_start.summary.json,warm_start.summary.json,CONTEXT_CONDITIONED_POLICY_WARM_START,PASS,True,,DENSE,CONCURRENT,,
14,results/stage18_dense/no_explicit_handover_risk/seed_04/stage18_ppo.summary.json,stage18_ppo.summary.json,SMDP_PPO_REWARD_V2_TRAINING_RUN,PASS,True,Training completed; held-out acceptance is still required.,DENSE,CONCURRENT,2000,8000
14,results/stage18_dense/no_explicit_handover_risk/seed_04/warm_start.summary.json,warm_start.summary.json,CONTEXT_CONDITIONED_POLICY_WARM_START,PASS,True,,DENSE,CONCURRENT,,
14,results/stage18_dense/no_explicit_handover_risk/seed_05/stage18_ppo.summary.json,stage18_ppo.summary.json,SMDP_PPO_REWARD_V2_TRAINING_RUN,PASS,True,Training completed; held-out acceptance is still required.,DENSE,CONCURRENT,2000,8000
14,results/stage18_dense/no_explicit_handover_risk/seed_05/warm_start.summary.json,warm_start.summary.json,CONTEXT_CONDITIONED_POLICY_WARM_START,PASS,True,,DENSE,CONCURRENT,,
14,results/stage18_dense/no_explicit_handover_risk/seed_06/stage18_ppo.summary.json,stage18_ppo.summary.json,SMDP_PPO_REWARD_V2_TRAINING_RUN,PASS,True,Training completed; held-out acceptance is still required.,DENSE,CONCURRENT,2000,8000
14,results/stage18_dense/no_explicit_handover_risk/seed_06/warm_start.summary.json,warm_start.summary.json,CONTEXT_CONDITIONED_POLICY_WARM_START,PASS,True,,DENSE,CONCURRENT,,
14,results/stage18_dense/no_explicit_handover_risk/seed_07/stage18_ppo.summary.json,stage18_ppo.summary.json,SMDP_PPO_REWARD_V2_TRAINING_RUN,PASS,True,Training completed; held-out acceptance is still required.,DENSE,CONCURRENT,2000,8000
14,results/stage18_dense/no_explicit_handover_risk/seed_07/warm_start.summary.json,warm_start.summary.json,CONTEXT_CONDITIONED_POLICY_WARM_START,PASS,True,,DENSE,CONCURRENT,,
14,results/stage18_dense/no_explicit_handover_risk/seed_08/stage18_ppo.summary.json,stage18_ppo.summary.json,SMDP_PPO_REWARD_V2_TRAINING_RUN,PASS,True,Training completed; held-out acceptance is still required.,DENSE,CONCURRENT,2000,8000
14,results/stage18_dense/no_explicit_handover_risk/seed_08/warm_start.summary.json,warm_start.summary.json,CONTEXT_CONDITIONED_POLICY_WARM_START,PASS,True,,DENSE,CONCURRENT,,
14,results/stage18_dense/no_explicit_handover_risk/seed_09/stage18_ppo.summary.json,stage18_ppo.summary.json,SMDP_PPO_REWARD_V2_TRAINING_RUN,PASS,True,Training completed; held-out acceptance is still required.,DENSE,CONCURRENT,2000,8000
14,results/stage18_dense/no_explicit_handover_risk/seed_09/warm_start.summary.json,warm_start.summary.json,CONTEXT_CONDITIONED_POLICY_WARM_START,PASS,True,,DENSE,CONCURRENT,,
