update,mean,std,count,smooth,smooth_sd
192,-324.2379940005544,137.02707950061998,10,-385.00274141424137,150.42029904752135
193,-363.1013698904329,156.81710748576057,10,-384.8969363628309,149.7481252766027
194,-499.63522424825624,192.97206498306076,10,-387.3532632191284,150.25348441160224
195,-439.5367238430649,198.86113322421176,10,-388.91777487343586,151.6774300986251
196,-383.8724803482296,119.00685500253317,10,-390.0103586014553,152.25483636548208
197,-404.29782001091155,140.1057518163075,10,-392.09130501547725,151.9555248504315
198,-423.36027982983506,162.88951455697554,10,-390.4600801767127,151.2537708617832
199,-370.1198397391644,165.05455274779456,10,-390.7390440436746,151.36148422158948
200,-404.25686582157005,165.705821424789,10,-390.57544459239233,152.49169176500726
201,-404.9367924619999,176.42048894594188,10,-389.76212315129675,152.56405080894223
202,-391.655979031603,148.25828306930168,10,-388.9574929417181,151.66898664780115
203,-341.42498898116827,190.3154941841251,10,-388.1865862763767,152.71905762641023
204,-421.4357600997332,124.97263193065196,10,-387.7188781602028,151.6361967906048
205,-401.8730839582241,118.8566972793873,10,-387.1371794704196,151.20045080682988
206,-362.1124083885495,160.27644493919388,10,-387.28164512757934,152.36249752580432
207,-332.5230811847682,100.65212525243216,10,-386.566566029672,151.39079388505576
208,-354.79318666909313,132.58595373710025,10,-385.0509855374875,151.65626180680405
209,-375.12649176386157,134.7508106060343,10,-386.2058639736713,152.94029309019297
210,-422.5143992685663,210.50112044444745,10,-386.9204960282017,153.25848348681825
211,-430.5187719593205,257.62351971841946,10,-389.35080751030165,156.49108148113064
212,-447.53894245330594,182.7035897644855,10,-390.47573660418436,157.35346017020217
213,-435.93325366890724,105.04393867091717,10,-390.659566504226,156.2130626446484
214,-414.7933858875813,191.0047743641358,10,-391.20580857616085,157.5242727031908
215,-471.06419502871466,164.47874197332152,10,-392.51654012296234,156.44663691237
216,-353.7148346317148,167.68077167281598,10,-390.76321032705994,156.5699883830676
217,-474.83181390567154,183.89014593001855,10,-392.83906743766835,156.60109623946187
218,-423.97664006684755,224.8012494455125,10,-393.99310844189813,158.01525367022327
219,-332.3172437383927,131.09794771439925,10,-392.3134887541679,158.57914138596388
220,-437.5923409741471,206.90867488686126,10,-393.36475096409873,160.58254041296456
221,-409.4916018165621,190.24461681389923,10,-392.5141458050482,160.32971886198877
222,-431.4471899622064,127.96626506251448,10,-394.49820421315235,160.56973993921002
